,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
43,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,8,35,449,20.4,7.6,4.6,1.8,0.6,0.4,2089448
44,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,13,18,756,27.8,13.7,3.9,4.7,1.4,0.5,18125000
45,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,2,,48,8.8,2.2,1.1,0.5,0.3,0.0,
46,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,5,27,316,28.6,14.2,3.4,3.4,1.0,0.2,18000000
47,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,8,31,603,29.1,15.0,3.6,1.6,0.6,0.1,18700000
48,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,3,44,53,6.2,2.7,1.2,0.3,0.1,0.3,2161152
49,Leandro Bolmaro,Jazz,Forward,6-6,200,Argentina,2000-09-11T00:00:00,1,23,35,6.9,1.4,1.2,0.6,0.2,0.0,2353320
50,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,4,39,143,13.1,3.1,2.2,0.8,0.5,0.3,1729217
51,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,7,13,477,33.7,23.5,3.9,4.7,0.8,0.3,31610000
52,Brandon Boston,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,1,51,51,14.9,6.7,2.2,1.0,0.5,0.3,
53,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,5,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,7009615
54,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,1,11,31,9.8,4.6,1.7,0.8,0.2,0.0,4154400
55,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,12,19,660,27.5,11.0,2.8,1.7,1.0,0.2,2641691
56,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,5,28,167,11.7,4.6,4.3,0.5,0.2,0.6,1789256
57,Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,3,47,64,13.1,5.0,1.9,0.9,0.2,0.1,
58,Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,4,10,309,31.3,11.3,3.9,2.1,1.3,0.6,5557725
59,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,4,12,291,29.1,13.4,5.6,2.3,0.7,0.7,5421493
60,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,3,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,1701593
61,Malcolm Brogdon,Celtics,Guard,6-5,229,USA,1992-12-11T00:00:00,6,36,333,30.2,15.5,4.2,4.8,0.9,0.2,21700000
62,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,3,,74,18.4,6.9,2.3,1.2,0.5,0.2,1489065
63,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,5,45,272,28.2,14.5,3.0,2.0,1.0,0.3,12200000
64,Bruce Brown,Nuggets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,4,42,269,23.5,7.6,4.3,2.1,0.9,0.5,4736102
65,Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,6,3,403,28.7,16.5,4.9,2.0,0.9,0.4,24830357
66,Moses Brown,Clippers,Center,7-2,245,USA,1999-10-13T00:00:00,3,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,1701593
67,Sterling Brown,Rockets,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,5,46,264,16.8,5.4,3.3,1.0,0.5,0.2,3000000
68,Greg Brown III,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,1,43,48,13.3,4.7,2.8,0.7,0.5,0.5,925258
69,Charlie Brown Jr.,76ers,Guard,6-6,199,USA,1997-02-02T00:00:00,3,Undrafted,41,9.0,2.2,1.3,0.4,0.4,0.2,
70,Chaundee Brown Jr.,Hawks,Forward,6-5,215,USA,1998-12-04T00:00:00,1,Undrafted,5,20.7,6.2,3.2,0.8,0.4,0.0,
71,Troy Brown Jr.,Lakers,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,4,15,221,18.5,6.4,3.8,1.6,0.7,0.1,5170564
72,Jalen Brunson,Knicks,Guard,6-1,190,USA,1996-08-31T00:00:00,4,33,277,24.7,11.9,3.0,3.7,0.6,0.0,1802057
73,Thomas Bryant,Lakers,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,5,42,170,20.1,10.2,5.7,1.3,0.4,0.9,8730159
74,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,9,25,434,22.5,7.8,2.5,1.2,0.6,0.1,9536000
75,Trey Burke,Rockets,Guard,6-0,185,USA,1992-11-12T00:00:00,9,9,498,20.9,9.6,1.8,3.1,0.6,0.1,3333333
76,Alec Burks,Pistons,Guard,6-6,214,USA,1991-07-20T00:00:00,11,12,625,23.0,10.6,3.5,2.0,0.7,0.2,9536000
77,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,1,40,42,8.6,3.8,1.1,1.5,0.4,0.2,925258
78,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,11,30,690,33.1,17.7,5.3,4.1,1.6,0.5,36016200
79,Devontae Cacok,Spurs,Forward,6-7,240,USA,1996-10-08T00:00:00,3,Undrafted,36,6.3,2.5,2.2,0.2,0.4,0.3,
80,Kentavious Caldwell-Pope,Nuggets,Guard,6-5,204,USA,1993-02-18T00:00:00,9,8,683,29.2,11.6,3.1,1.7,1.1,0.2,13038862
81,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,3,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,3804150
82,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,3,49,70,7.2,2.3,1.3,0.5,0.2,0.1,1782621
83,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,2,,13,16.8,6.5,0.8,0.8,0.8,0.3,
84,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,8,25,471,26.8,12.4,10.7,1.0,0.7,1.5,17103448
85,Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,2,32,26,6.1,2.5,1.5,0.1,0.1,0.2,1517981
86,Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,4,32,223,14.1,4.4,1.7,1.4,0.6,0.2,4107149
87,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,4,7,203,27.5,12.2,8.9,2.0,0.6,0.9,6920027
88,Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,5,Undrafted,225,20.6,6.2,2.5,2.7,1.1,0.3,8604651
89,Justin Champagnie,Raptors,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,1,Undrafted,36,7.8,2.3,2.0,0.3,0.2,0.1,
90,Chris Chiozza,Warriors,Guard,5-11,175,USA,1995-11-21T00:00:00,4,Undrafted,91,11.4,3.3,1.3,2.4,0.5,0.1,
91,Marquese Chriss,Rockets,Forward,6-9,240,USA,1997-07-02T00:00:00,6,8,292,18.3,7.6,4.7,1.0,0.6,0.8,958529
92,Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,1,24,74,18.0,7.9,2.5,2.0,0.9,0.2,2259240
93,Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,4,Undrafted,170,13.2,3.1,2.5,0.5,0.3,0.4,377645
94,Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,3,21,181,21.9,10.9,5.6,1.4,0.7,0.9,2726880
95,Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,8,46,600,27.0,15.4,3.3,2.5,0.9,0.1,12420000
96,Nic Claxton,Nets,Center,6-11,215,USA,1999-04-17T00:00:00,3,31,94,18.7,7.3,5.0,0.9,0.5,1.1,1782621
97,Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,3,Undrafted,131,16.2,6.2,2.0,1.2,0.4,0.1,
98,John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,5,19,293,29.0,16.5,8.3,1.6,0.6,1.0,23000000
99,Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,4,10,182,17.5,6.0,4.2,1.1,0.3,0.7,6984127
100,Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,15,4,958,32.0,14.8,3.0,5.6,1.4,0.2,21000000
101,Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,7,41,417,18.5,5.9,3.3,1.2,0.5,0.3,5333333
102,Tyler Cook,Bulls,Forward,6-8,255,USA,1997-09-23T00:00:00,3,Undrafted,65,10.6,3.8,2.5,0.3,0.2,0.1,
103,Sharife Cooper,Hawks,Guard,6-1,176,USA,2001-06-11T00:00:00,2,48,13,3.0,0.5,0.4,0.4,0.0,0.0,
104,DeMarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,12,5,654,29.8,19.6,10.2,3.0,1.3,1.1,1290481
105,Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,9,Undrafted,537,29.9,11.6,5.8,1.5,1.6,1.0,12975471
106,Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,5,Undrafted,300,18.7,5.7,3.6,0.9,0.5,0.5,4878049
107,Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,10,34,735,25.3,9.6,4.3,1.6,1.0,0.3,9720900
108,Jarrett Culver,Grizzlies,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,3,6,134,17.5,6.6,2.7,1.2,0.7,0.4,6395160
109,Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,1,1,64,32.6,17.4,5.5,5.6,1.2,0.7,10050120
110,Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,8,Undrafted,377,25.2,11.3,2.2,2.2,0.7,0.1,8186047
111,Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,13,7,826,34.3,24.3,4.6,6.5,1.7,0.2,45780966
112,Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,10,1,604,34.4,23.8,10.2,2.3,1.4,2.3,35361360
113,Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,12,13,722,19.1,5.9,6.4,0.7,0.5,0.8,2641691
114,Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,3,Undrafted,163,17.3,8.5,3.0,1.5,0.7,0.2,4000000
115,DeMar DeRozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,13,9,957,34.3,20.8,4.4,3.9,1.0,0.3,26000000
116,Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,9,Undrafted,477,17.8,6.4,5.9,0.7,0.5,0.8,5256308
117,Donte DiVincenzo,Warriors,Guard,6-4,203,USA,1997-01-31T00:00:00,4,17,201,23.6,9.0,4.6,2.5,1.1,0.2,4675830
118,Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,4,45,207,18.9,8.4,3.9,1.1,0.8,0.3,5200000
119,Gorgui Dieng,Spurs,Center,6-10,248,Senegal,1990-01-18T00:00:00,9,21,597,20.6,7.5,5.7,1.3,0.8,0.9,4000000
120,Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,8,38,387,26.4,13.0,3.0,5.0,0.7,0.3,17142857
121,Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,4,3,264,33.8,26.4,8.5,8.0,1.1,0.4,10174391
122,Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,3,Undrafted,139,29.0,13.3,3.5,1.5,0.9,0.3,1782621
123,Ayo Dosunmu,Bulls,Guard,6-4,200,USA,2000-01-17T00:00:00,1,38,77,27.4,8.8,2.8,3.3,0.8,0.4,925258
124,Goran Dragic,Bulls,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,14,45,888,27.9,13.7,3.1,4.8,1.0,0.2,20168742
125,Andre Drummond,Bulls,Center,6-10,279,USA,1993-08-10T00:00:00,10,9,718,29.6,13.8,13.3,1.4,1.4,1.5,2401537
126,Chris Duarte,Pacers,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,1,13,55,28.0,13.1,4.1,2.1,1.0,0.2,3749520
127,David Duke Jr.,Nets,Guard,6-4,204,USA,1999-10-13T00:00:00,1,Undrafted,22,15.5,4.7,3.0,0.8,0.6,0.3,
128,Kevin Durant,Nets,Forward,6-10,240,USA,1988-09-29T00:00:00,14,2,939,36.8,27.2,7.1,4.3,1.1,1.1,40918900
129,Anthony Edwards,Timberwolves,Guard,6-4,225,USA,2001-08-05T00:00:00,2,1,144,33.2,20.3,4.7,3.4,1.3,0.6,10245480
130,Carsen Edwards,Celtics,Guard,5-11,200,USA,1998-03-12T00:00:00,4,33,72,9.8,3.7,1.1,0.7,0.3,0.1,
131,Kessler Edwards,Nets,Forward,6-7,203,USA,2000-08-09T00:00:00,1,44,48,20.6,5.9,3.6,0.6,0.6,0.5,
132,CJ Elleby,Timberwolves,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,2,46,88,15.5,4.6,2.9,1.1,0.5,0.3,1517981
133,Wayne Ellington,Lakers,Guard,6-4,207,USA,1987-11-29T00:00:00,13,28,770,20.9,8.0,2.1,1.1,0.5,0.1,2641691
134,Joel Embiid,76ers,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,6,3,328,31.2,26.0,11.4,3.3,0.9,1.7,31579390
135,Derrick Favors,Thunder,Forward,6-9,265,USA,1991-07-15T00:00:00,12,3,790,24.3,10.6,7.1,1.1,0.7,1.2,9720900
136,Bruno Fernando,Rockets,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,3,34,119,9.2,3.2,2.8,0.6,0.2,0.3,1782621
137,Dorian Finney-Smith,Mavericks,Forward,6-7,220,USA,1993-05-04T00:00:00,6,Undrafted,394,27.3,8.2,4.5,1.4,0.8,0.4,4000000
138,Malik Fitts,Celtics,Forward,6-5,230,USA,1997-07-04T00:00:00,3,Undrafted,18,4.1,1.3,1.1,0.3,0.0,0.0,85578
139,Malachi Flynn,Raptors,Guard,6-1,175,USA,1998-05-09T00:00:00,2,29,91,16.1,6.0,2.0,2.3,0.6,0.1,2048040
140,Bryn Forbes,Timberwolves,Guard,6-2,205,USA,1993-07-23T00:00:00,6,Undrafted,406,20.5,9.1,1.7,1.2,0.4,0.0,
141,Trent Forrest,Hawks,Guard,6-4,210,USA,1998-06-12T00:00:00,2,Undrafted,90,11.9,3.1,1.6,1.7,0.4,0.1,
142,Evan Fournier,Knicks,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,10,20,645,28.6,14.3,2.7,2.6,0.9,0.2,18139535
143,De'Aaron Fox,Kings,Guard,6-3,185,USA,1997-12-20T00:00:00,5,5,322,32.1,19.1,3.5,6.2,1.3,0.4,28103550
144,Melvin Frazier Jr.,Magic,Guard-Forward,6-5,215,USA,1996-08-30T00:00:00,4,35,32,9.1,2.7,0.9,0.2,0.3,0.1,
145,Markelle Fultz,Magic,Guard,6-4,209,USA,1998-05-29T00:00:00,5,1,131,24.8,10.9,3.2,4.8,1.1,0.2,16500000
146,Wenyen Gabriel,Lakers,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,3,Undrafted,77,10.8,3.6,2.6,0.4,0.3,0.3,
147,Daniel Gafford,Wizards,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,3,38,169,16.8,7.6,4.4,0.7,0.4,1.4,1782621
148,Danilo Gallinari,Celtics,Forward,6-10,236,Italy,1988-08-08T00:00:00,13,6,728,29.9,15.6,4.8,1.9,0.7,0.4,20475000
149,Darius Garland,Cavaliers,Guard,6-1,192,USA,2000-01-26T00:00:00,3,5,181,33.4,17.4,2.6,6.3,1.1,0.1,7040880
150,Usman Garuba,Rockets,Forward,6-8,229,Spain,2002-03-09T00:00:00,1,23,24,10.0,2.0,3.5,0.7,0.4,0.5,2353320
151,Luka Garza,Pistons,Center,6-10,243,USA,1998-12-27T00:00:00,1,52,32,12.2,5.8,3.1,0.6,0.3,0.2,925258
152,Rudy Gay,Jazz,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,16,8,1064,31.7,16.3,5.8,2.1,1.1,0.7,5890000
153,Paul George,Clippers,Forward,6-8,220,USA,1990-05-02T00:00:00,12,10,737,33.6,20.4,6.4,3.6,1.7,0.4,39344970
154,Taj Gibson,Wizards,Forward,6-9,232,USA,1985-06-24T00:00:00,13,26,896,24.5,9.0,6.1,1.0,0.6,1.0,4910000
155,Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,1,6,54,31.5,12.5,7.8,6.4,0.9,0.4,5988000
156,Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,4,11,243,31.8,18.2,4.5,4.3,1.1,0.7,5495532
157,Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,2,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,1517981
158,Rudy Gobert,Timberwolves,Center,7-1,258,France,1992-06-26T00:00:00,9,27,611,30.0,12.4,11.7,1.3,0.7,2.2,35344828
159,Brandon Goodwin,Cavaliers,Guard,6-0,180,USA,1995-10-02T00:00:00,4,Undrafted,133,12.1,4.7,1.6,1.9,0.4,0.0,
160,Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,8,4,528,28.9,13.0,6.3,2.5,0.7,0.6,16409091
161,Eric Gordon,Rockets,Guard,6-3,215,USA,1988-12-25T00:00:00,14,7,749,32.4,16.4,2.4,2.8,0.9,0.3,18218818
162,Devonte' Graham,Pelicans,Guard,6-1,195,USA,1995-02-22T00:00:00,4,34,240,27.9,12.8,2.5,5.0,0.9,0.1,11000000
163,Jerami Grant,Trail Blazers,Forward,6-8,210,USA,1994-03-12T00:00:00,8,39,555,26.0,11.4,3.9,1.3,0.6,1.1,20000000
164,Danny Green,Grizzlies,Guard,6-6,215,USA,1987-06-22T00:00:00,13,46,819,25.3,8.7,3.4,1.6,1.0,0.8,10000000
165,Draymond Green,Warriors,Forward,6-6,230,USA,1990-03-04T00:00:00,10,35,685,28.5,8.7,6.9,5.4,1.4,1.0,24026712
166,JaMychal Green,Warriors,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,8,Undrafted,487,20.8,7.9,5.7,0.9,0.6,0.4,8292683
167,Jalen Green,Rockets,Guard,6-4,186,USA,2002-02-09T00:00:00,1,2,67,31.9,17.3,3.4,2.6,0.7,0.3,8992200
168,Javonte Green,Bulls,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,3,Undrafted,154,16.0,5.0,2.9,0.7,0.8,0.3,1669178
169,Jeff Green,Nuggets,Forward,6-8,235,USA,1986-08-28T00:00:00,14,5,1051,29.0,12.6,4.3,1.5,0.7,0.5,4500000
170,Josh Green,Mavericks,Guard,6-5,200,Australia,2000-11-16T00:00:00,2,18,106,14.0,4.0,2.3,1.0,0.6,0.2,2957520
171,Blake Griffin,Nets,Forward,6-9,250,USA,1989-03-16T00:00:00,12,1,724,32.9,19.8,8.2,4.1,0.8,0.5,32405817
172,Quentin Grimes,Knicks,Guard,6-4,210,USA,2000-05-08T00:00:00,1,25,46,17.1,6.0,2.0,1.0,0.7,0.2,2168760
173,Rui Hachimura,Wizards,Forward,6-8,230,Japan,1998-02-08T00:00:00,3,9,147,28.5,13.0,5.2,1.5,0.7,0.2,4916160
174,Tyrese Haliburton,Pacers,Guard,6-5,185,USA,2000-02-29T00:00:00,2,12,135,32.9,14.3,3.6,6.9,1.6,0.6,4023600
175,R.J. Hampton,Magic,Guard,6-4,175,USA,2001-02-07T00:00:00,2,24,115,19.9,7.3,3.2,2.1,0.5,0.2,2303040
176,Tim Hardaway Jr.,Mavericks,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,9,24,586,27.0,13.9,2.8,1.9,0.6,0.1,21306816
